"","game_date","game_name","team_name","opp_team_name","team_venue","player_name","period","situation_type","event_type","event_successful","event_time","x_event","y_event","receiver_name","receiver_x","receiver_y","shot_type","goal","goal_predictions"
"76","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brianne Jenner",1,"5 on 5","Shot","f",922,177,21,"",NA,NA,"Snapshot",0,0.0734295648094706
"85","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Fortino",1,"5 on 5","Shot","f",870,141,77,"",NA,NA,"Wristshot",0,0.00555452026567928
"110","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jillian Saulnier",1,"5 on 5","Shot","f",778,175,54,"",NA,NA,"Deflection",0,0.134659187304721
"140","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Maria Batalova",1,"5 on 5","Shot","f",660,152,52,"",NA,NA,"Wristshot",0,0.00957023367374719
"159","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meaghan Mikkelson",1,"5 on 5","Shot","f",574,130,72,"",NA,NA,"Wristshot",0,0.00294719653701684
"170","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",1,"5 on 5","Shot","f",547,180,36,"",NA,NA,"Snapshot",0,0.0893597882281878
"175","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",1,"5 on 4","Shot","f",537,138,54,"",NA,NA,"Slapshot",0,0.0100536028660302
"186","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Melodie Daoust",1,"5 on 4","Shot","f",508,170,46,"",NA,NA,"Snapshot",0,0.0543105178861961
"190","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Fortino",1,"5 on 4","Shot","f",497,169,68,"",NA,NA,"Wristshot",0,0.02578985305265
"193","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Rebecca Johnston",1,"5 on 4","Shot","f",489,159,16,"",NA,NA,"Slapshot",0,0.0288958143714248
"194","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",1,"5 on 4","Shot","f",481,145,56,"",NA,NA,"Wristshot",0,0.00653963219422831
"196","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",1,"5 on 4","Shot","f",467,155,51,"",NA,NA,"Slapshot",0,0.0256357419926495
"204","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 4","Shot","f",430,171,35,"",NA,NA,"Deflection",0,0.10504837807958
"207","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",1,"5 on 5","Shot","f",419,155,65,"",NA,NA,"Wristshot",0,0.0117546670093849
"208","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brianne Jenner",1,"5 on 5","Shot","f",417,191,46,"",NA,NA,"Snapshot",0,0.158372597271201
"209","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",416,185,44,"",NA,NA,"Snapshot",0,0.117599530290702
"210","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",415,179,38,"",NA,NA,"Wristshot",0,0.040903235369894
"212","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Stacey",1,"5 on 5","Shot","f",412,154,21,"",NA,NA,"Wristshot",0,0.0097791162895724
"213","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Emily Clark",1,"5 on 5","Shot","f",410,193,36,"",NA,NA,"Wristshot",0,0.0855311993936516
"218","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Sarah Nurse",1,"5 on 5","Shot","f",395,159,21,"",NA,NA,"Wristshot",0,0.0129310916218839
"221","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Emily Clark",1,"5 on 5","Shot","f",383,160,10,"",NA,NA,"Snapshot",0,0.0285180685399723
"222","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Sarah Nurse",1,"5 on 5","Shot","f",383,180,34,"",NA,NA,"Deflection",0,0.162920203482647
"239","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",290,174,30,"",NA,NA,"Wristshot",0,0.0304454865048938
"246","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",265,186,38,"",NA,NA,"Wristshot",0,0.0595703059966064
"247","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",254,188,46,"",NA,NA,"Wrap Around",0,9.81038866490274e-09
"248","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",1,"5 on 5","Shot","f",253,186,48,"",NA,NA,"Wristshot",0,0.0612404427240341
"261","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Fortino",1,"5 on 5","Shot","f",216,180,55,"",NA,NA,"Wristshot",0,0.0452935040056049
"263","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brianne Jenner",1,"5 on 5","Shot","f",214,172,51,"",NA,NA,"Wristshot",0,0.0289690746674055
"275","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Melodie Daoust",1,"5 on 5","Shot","f",169,183,36,"",NA,NA,"Fan",0,1.94472606434967e-08
"278","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meaghan Mikkelson",1,"5 on 5","Shot","f",162,128,59,"",NA,NA,"Snapshot",0,0.00552704977108209
"279","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",1,"5 on 5","Shot","f",162,167,46,"",NA,NA,"Deflection",0,0.0881820660636329
"286","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Yekaterina Smolina",1,"5 on 5","Shot","f",128,155,4,"",NA,NA,"Wristshot",0,0.00984213322399969
"298","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Blayre Turnbull",1,"5 on 5","Shot","f",85,164,19,"",NA,NA,"Wristshot",0,0.0169829397304503
"303","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",1,"5 on 5","Shot","f",65,156,14,"",NA,NA,"Wristshot",0,0.0107159406227326
"316","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Nina Pirogova",1,"5 on 5","Shot","f",27,197,21,"",NA,NA,"Wristshot",0,0.100874512441518
"318","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",1,"5 on 5","Shot","f",23,162,10,"",NA,NA,"Wristshot",0,0.0148041643685122
"332","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Lyudmila Belyakova",2,"5 on 5","Shot","f",1152,138,44,"",NA,NA,"Wristshot",0,0.00425994457864052
"346","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Rebecca Johnston",2,"5 on 5","Shot","t",1087,178,41,"",NA,NA,"Snapshot",1,0.081675815653852
"355","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",2,"5 on 5","Shot","f",1053,163,34,"",NA,NA,"Wristshot",0,0.0167776145505568
"356","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",2,"5 on 5","Shot","f",1052,177,31,"",NA,NA,"Snapshot",0,0.0754570881003925
"361","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",2,"5 on 5","Shot","f",1029,157,29,"",NA,NA,"Wristshot",0,0.011837294777819
"365","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",2,"5 on 5","Shot","f",1024,178,51,"",NA,NA,"Snapshot",0,0.0839104128580524
"368","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Nina Pirogova",2,"5 on 5","Shot","f",1014,158,47,"",NA,NA,"Wristshot",0,0.01318884925634
"379","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Emily Clark",2,"5 on 5","Shot","f",964,191,58,"",NA,NA,"Wristshot",0,0.0818291588116351
"384","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Rebecca Johnston",2,"5 on 4","Shot","f",948,138,65,"",NA,NA,"Wristshot",0,0.00453027928639767
"385","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Haley Irwin",2,"5 on 4","Shot","t",948,179,47,"",NA,NA,"Deflection",1,0.160445496169589
"418","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",2,"5 on 5","Shot","f",838,138,56,"",NA,NA,"Wristshot",0,0.00441239107317427
"419","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",2,"5 on 5","Shot","f",835,193,34,"",NA,NA,"Wristshot",0,0.0850719738918877
"424","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Melodie Daoust",2,"5 on 5","Shot","f",815,167,53,"",NA,NA,"Deflection",0,0.0898525136295771
"427","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Melodie Daoust",2,"5 on 5","Shot","f",810,172,30,"",NA,NA,"Snapshot",0,0.0577987456999141
"429","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",2,"5 on 5","Shot","f",806,159,69,"",NA,NA,"Snapshot",0,0.031948073012529
"450","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Sarah Nurse",2,"5 on 5","Shot","f",725,178,23,"",NA,NA,"Wristshot",0,0.0371319119575803
"455","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",2,"5 on 5","Shot","f",701,158,33,"",NA,NA,"Snapshot",0,0.0272883003656887
"458","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",2,"5 on 5","Shot","f",692,172,36,"",NA,NA,"Wristshot",0,0.0277528483176876
"472","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",2,"5 on 4","Shot","f",626,139,55,"",NA,NA,"Slapshot",0,0.0106629264354812
"475","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Marie-Philip Poulin",2,"5 on 4","Shot","f",617,127,43,"",NA,NA,"Slapshot",0,0.00525266761298981
"492","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",2,"5 on 4","Shot","f",560,163,64,"",NA,NA,"Snapshot",0,0.0391721596946506
"497","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",2,"5 on 4","Shot","f",531,154,43,"",NA,NA,"Snapshot",0,0.022526901695513
"500","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Stacey",2,"5 on 4","Shot","f",520,184,42,"",NA,NA,"Deflection",0,0.199877930925263
"508","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Yevgenia Dyupina",2,"5 on 5","Shot","f",483,127,73,"",NA,NA,"Wristshot",0,0.00249603976973731
"509","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Yevgenia Dyupina",2,"5 on 5","Shot","f",481,162,81,"",NA,NA,"Wristshot",0,0.0181816663067928
"518","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",2,"5 on 5","Shot","f",455,177,60,"",NA,NA,"Snapshot",0,0.0816307203488118
"539","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Rebecca Johnston",2,"5 on 5","Shot","f",388,169,55,"",NA,NA,"Deflection",0,0.10006325107317
"542","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Fanuza Kadirova",2,"5 on 5","Shot","f",368,150,62,"",NA,NA,"Wristshot",0,0.00880944182679545
"549","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Laura Stacey",2,"5 on 5","Shot","f",340,171,25,"",NA,NA,"Snapshot",0,0.0540397533112192
"557","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Natalie Spooner",2,"5 on 5","Shot","f",310,184,75,"",NA,NA,"Snapshot",0,0.121249708844538
"565","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",2,"5 on 5","Shot","f",296,158,47,"",NA,NA,"Snapshot",0,0.0284034405069172
"570","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",2,"5 on 5","Shot","f",277,158,26,"",NA,NA,"Snapshot",0,0.026746802420196
"578","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Melodie Daoust",2,"5 on 5","Shot","t",244,183,44,"",NA,NA,"Wristshot",1,0.0516091844535299
"593","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Emily Clark",2,"4 on 5","Shot","f",170,165,17,"",NA,NA,"Wristshot",0,0.017849166863673
"598","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Maria Batalova",2,"5 on 4","Shot","f",150,134,52,"",NA,NA,"Slapshot",0,0.00798903417681289
"601","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Sarah Nurse",2,"4 on 5","Shot","f",140,144,66,"",NA,NA,"Wristshot",0,0.00636598545559458
"630","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",2,"5 on 5","Shot","f",14,131,78,"",NA,NA,"Slapshot",0,0.00728449876951076
"631","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",2,"5 on 5","Shot","f",14,166,49,"",NA,NA,"Deflection",0,0.0844223471570574
"641","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",3,"5 on 4","Shot","f",1180,185,23,"",NA,NA,"Wristshot",0,0.0541750766923616
"643","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Meghan Agosta",3,"5 on 4","Shot","f",1178,170,53,"",NA,NA,"Snapshot",0,0.0553783000599836
"647","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",3,"5 on 4","Shot","f",1168,165,29,"",NA,NA,"Deflection",0,0.0759217231724224
"662","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Nina Pirogova",3,"4 on 5","Shot","f",1089,168,18,"",NA,NA,"Wristshot",0,0.021138357019149
"667","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Emily Clark",3,"5 on 5","Shot","f",1063,187,59,"",NA,NA,"Wristshot",0,0.0665542177574338
"675","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",3,"5 on 4","Shot","f",1031,152,23,"",NA,NA,"Wristshot",0,0.00879426104342681
"677","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",3,"5 on 4","Shot","f",1024,147,22,"",NA,NA,"Slapshot",0,0.0151385429168479
"678","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Valeria Pavlova",3,"5 on 4","Shot","f",1022,172,59,"",NA,NA,"Wristshot",0,0.0296387159322161
"679","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Fanuza Kadirova",3,"5 on 4","Shot","f",1022,186,50,"",NA,NA,"Wristshot",0,0.0615796821490835
"682","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",3,"5 on 4","Shot","f",1016,147,24,"",NA,NA,"Slapshot",0,0.0152265446052631
"686","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Olga Sosina",3,"5 on 4","Shot","f",1007,137,35,"",NA,NA,"Slapshot",0,0.00899413441845316
"690","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Olympic Athletes from Russia","Olympic (Women) - Canada","away","Anna Shokhina",3,"5 on 4","Shot","f",980,187,23,"",NA,NA,"Snapshot",0,0.123020732126386
"714","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jennifer Wakefield",3,"5 on 5","Shot","f",887,150,33,"",NA,NA,"Wristshot",0,0.00809465148190953
"719","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Brigette Lacquette",3,"5 on 5","Shot","f",866,128,71,"",NA,NA,"Slapshot",0,0.00603072329332808
"740","2/11/2018","2018-02-11 - Olympic Athletes from Russia - Women at Canada - Women","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia","home","Jillian Saulnier",3,"5 on 5","Shot","f",816,159,60,"",NA,NA,"Wristshot",0,0.0144809319840748
