player_name,# of pass,# f shots,pass_pct,shot_pct,,shot_pct,Pass Distance Overall,Average Pass Distance,Best Receiver,Clutchness,Average Shot Dstance,Total Shot distance,Perf in Adv,Perf in Disadv,,
,,,,,,Average,Marie-Philip Poulin,Melodie Daoust,Haley Irwin,Brianne Jenner,Rebecca Johnston,,,,,
,,,,,Average Distance,676.99,882.68,656.61,729.67,679.78,597.07,,,,,
,,,,,Total Distance,68311.03,203899.5,99804,37213,101967,130160.5,,,,,
,,,,,Short Pass,,,,41,63,201,,,,,
,,,,,Long Pass,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Play,1,11,,,,,,,,,,,,,
Ann-Renee Desbiens,,,,,,,,,,,,,,,,
2,Ann-Sophie Bettez,Play,1,63,,,,,,,,,,,,
3,Bailey Bram,Play,1,3,,,,,,,,,,,,
4,Blayre Turnbull,Play,1,70,,,,,,,,,,,,
5,Brianne Jenner,Play,1,130,,,,,,,,,,,,
6,Brigette Lacquette,Play,1,137,,,,,,,,,,,,
7,Emerance Maschmeyer,Play,1,16,,,,,,,,,,,,
8,Emily Clark,Play,1,59,,,,,,,,,,,,
9,Erin Ambrose,Play,1,85,,,,,,,,,,,,
10,Genevieve Lacasse,Play,1,12,,,,,,,,,,,,
11,Haley Irwin,Play,1,41,,,,,,,,,,,,
12,Halli Krzyzaniak,Play,1,23,,,,,,,,,,,,
13,Jamie Bourbonnais,Play,1,2,,,,,,,,,,,,
14,Jamie Lee Rattray,Play,1,30,,,,,,,,,,,,
15,Jennifer Wakefield,Play,1,29,,,,,,,,,,,,
16,Jillian Saulnier,Play,1,84,,,,,,,,,,,,
17,Jocelyne Larocque,Play,1,147,,,,,,,,,,,,
18,Katelyn Gosling,Play,1,3,,,,,,,,,,,,
19,Laura Fortino,Play,1,206,,,,,,,,,,,,
20,Laura Stacey,Play,1,55,,,,,,,,,,,,
21,Lauriane Rougeau,Play,1,60,,,,,,,,,,,,
22,Loren Gabel,Play,1,26,,,,,,,,,,,,
23,Marie-Philip Poulin,Play,1,125,,,,,,,,,,,,
24,Meaghan Mikkelson,Play,1,60,,,,,,,,,,,,
25,Meghan Agosta,Play,1,63,,,,,,,,,,,,
26,Melodie Daoust,Play,1,106,,,,,,,,,,,,
27,Mich Zandee-Hart,Play,1,14,,,,,,,,,,,,
28,Natalie Spooner,Play,1,79,,,,,,,,,,,,
29,Rebecca Johnston,Play,1,201,,,,,,,,,,,,
30,Rebecca Leslie,Play,1,23,,,,,,,,,,,,
31,Renata Fast,Play,1,155,,,,,,,,,,,,
32,Sarah Nurse,Play,1,86,,,,,,,,,,,,
33,Shannon Szabados,Play,1,58,,,,,,,,,,,,
34,Victoria Bach,Play,1,21,,,,,,,,,,,,
